#  Dimmit County, Texas Minimum Temperature
# Units: Degrees Fahrenheit
Date,Value
200001,44.7
200002,51.4
200003,58.7
200004,59.5
200005,70.8
200006,73.6
200007,74.3
200008,74.1
200009,68.1
200010,63.3
200011,49.3
200012,38.4
200101,40.4
200102,48.1
200103,47.6
200104,63.8
200105,67
200106,74.2
200107,75.4
200108,75.3
200109,68
200110,58.5
200111,54.8
200112,43.2
200201,42.8
200202,38.7
200203,50.3
200204,65.5
200205,69.8
200206,74.3
200207,73.4
200208,74.6
200209,68
200210,63.9
200211,46.1
200212,40.4
200301,40.2
200302,44.4
200303,51.3
200304,59.8
200305,71.8
200306,71.8
200307,72.8
200308,73.2
200309,68.8
200310,59.5
200311,52.3
200312,38.4
200401,44.3
200402,42.2
200403,57.2
200404,57.6
200405,65.8
200406,71.9
200407,72.1
200408,71.8
200409,69
200410,66.7
200411,51.5
200412,39.4
200501,47
200502,51.1
200503,50.5
200504,55.4
200505,66.2
200506,72.4
200507,74.8
200508,74.1
200509,72.3
200510,61.5
200511,49.7
200512,39.3
200601,41.1
200602,42.7
200603,58.2
200604,65.3
200605,67.8
200606,72.6
200607,74.8
200608,76.4
200609,69.9
200610,62.5
200611,52.3
200612,42.1
200701,40.7
200702,45.1
200703,57.1
200704,57.2
200705,67
200706,71.1
200707,72.5
200708,73.6
200709,71
200710,59.5
200711,53
200712,42.7
200801,39
200802,46
200803,50.3
200804,59.3
200805,68.8
200806,74.8
200807,72.8
200808,73.8
200809,67.1
200810,57.4
200811,48.2
200812,41.7
200901,41
200902,45.2
200903,53.2
200904,58.3
200905,69.2
200906,73.6
200907,76.8
200908,75
200909,69.6
200910,61.3
200911,48.6
200912,41.1
201001,39.6
201002,41.2
201003,46.2
201004,58.9
201005,67.2
201006,74.6
201007,75
201008,74.4
201009,71.4
201010,56.4
201011,48.2
201012,38.7
201101,40.5
201102,43.3
201103,56.8
201104,62.2
201105,68.3
201106,73.1
201107,75.4
201108,76.4
201109,70
201110,59.1
201111,49.5
201112,44.1
201201,41.7
201202,49.2
201203,57.3
201204,61.7
201205,68.6
201206,73.7
201207,74.5
201208,75.1
201209,69.2
201210,63.1
201211,54.3
201212,44.5
201301,44.7
201302,48.3
201303,51.9
201304,58.3
201305,67.8
201306,73.5
201307,74
201308,74.4
201309,70.9
201310,63
201311,50.2
201312,41.2
201401,35.9
201402,44.8
201403,50.4
201404,58.4
201405,64.4
201406,74.6
201407,74.2
201408,75.3
201409,72.4
201410,63.5
201411,47.4
201412,49.3
201501,40.4
201502,45.7
201503,52.5
201504,63.5
201505,69
201506,71.9
201507,73.9
201508,74
201509,71.6
201510,65.1
201511,55
201512,43.7
201601,39
201602,45.8
201603,56.4
201604,60.5
201605,68.3
201606,71.9
201607,76.5
201608,75.6
201609,72.1
201610,63.2
201611,58
201612,50.4
201701,46.2
201702,51.1
201703,60.2
201704,61
201705,65.9
201706,72.4
201707,75.2
201708,74.6
201709,70.1
201710,58.7
201711,54.2
201712,44.5
201801,36.8
201802,51.8
201803,57.6
201804,57.1
201805,70.2
201806,76.4
201807,74.5
201808,74.4
201809,73.2
201810,64.2
201811,48.8
201812,43.2
201901,41.4
201902,48.6
201903,54.5
201904,54.5
201905,71.2
201906,73.8
201907,74.2
201908,77.2
201909,74.9
201910,62.2
201911,48.4
201912,40.7
202001,45.8
202002,44.9
202003,61.2
202004,59.4
202005,68.2
202006,72.4
202007,76.2
202008,75
202009,67.8
202010,59.5
202011,55.1
202012,39.3
202101,41.9
202102,41.3
202103,53.2
202104,59.3
202105,68.1
202106,73.3
202107,73.6
202108,74.5
202109,68.4
202110,63.2
202111,51.8
202112,53
202201,37.5
202202,39.2
202203,46.7
202204,63.4
202205,72.3
202206,74.8
202207,76.5
202208,75.8
202209,69.7
202210,59
202211,51.6
202212,46.9
202301,44.1
202302,47
202303,58.8
202304,60.6
202305,68.8
202306,75.1
202307,77
202308,76.9
202309,74.2
202310,65.2
202311,51.9
202312,45.4
202401,37.3
202402,50.5
202403,56.9
202404,64.4
202405,73.9
202406,76.4
202407,75.6
202408,77.2
202409,71.2
202410,63.9
202411,55.1
202412,49.2
202501,38.6
202502,47.2
202503,54.5
202504,62.4
202505,70.4
202506,75.2
