"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.28531717322602,0.253650136692301,2.78279129937144,3.12172749777473,3.2723303839109,3.43221372822046,3.82857939216774,1.00808858605287,238,0,1
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.254885836490967,0.343659404287855,-0.889939536233054,-0.481684594615697,-0.253706599374467,-0.0362703746892001,0.408074353329909,1.01317320937907,139,1,0.783333333333333
"age.beta[3]",0.0400138907056549,0.382104534928525,-0.645927865971952,-0.21755358933458,0.0429836827987071,0.284398887530578,0.821745956655765,1.00313328985506,600,1,0.543333333333333
"age.beta[4]",-0.666593285421688,0.327254433563218,-1.335945109362,-0.884598867578606,-0.665855985602591,-0.433261880862323,-0.0653117225344729,1.01012883930353,298,0,0.983333333333333
"age.beta[5]",-0.250224127695466,0.377096433313309,-0.940868757987546,-0.506634607246248,-0.264892137890907,0.0124670719722152,0.518856428762805,1.00316445270971,600,1,0.745
"age.beta[6]",-0.396201916362219,0.416420769545266,-1.25573701585218,-0.654492675603487,-0.418584664935903,-0.122112592649357,0.403452978686113,1.00068381538161,600,1,0.828333333333333
"age.beta[7]",-1.5957470228461,0.331555649621769,-2.24903787716871,-1.80351666791968,-1.59771731105205,-1.3482974008374,-0.982923594583728,1.00496193588665,288,0,1
"age.beta[8]",-1.19846985868924,0.363552736746622,-1.85082490217035,-1.4559671240099,-1.20174279919357,-0.94588879372329,-0.481496822910029,1.00201445259046,470,0,0.998333333333333
"age.beta[9]",-1.98137876922764,0.338798034901511,-2.71050272530632,-2.19022716360985,-1.97936525417634,-1.75871867984916,-1.2852461963542,1.00699026383953,332,0,1
"age.beta[10]",-2.72457815757733,0.373523395378325,-3.4523119946171,-2.98381908165884,-2.7138418623083,-2.48447883876765,-1.9779962705331,1.00841348739353,195,0,1
"age.beta[11]",-3.60273338357935,0.533540737962808,-4.62343932925487,-3.95141401440231,-3.62164088660966,-3.24365025068874,-2.57018872925215,1.00621775466986,274,0,1
"age.beta[12]",-10.8271619479877,5.52307051281472,-24.5333338483633,-13.8804536583166,-9.619885219613,-6.69376817169772,-3.52462569912684,0.998819749227483,600,0,1
"age.beta[13]",-0.190335164576978,10.6580277695904,-19.1581783726093,-7.56710024110993,-0.41370535017902,7.43457288807775,20.2982410904817,1.00695160674477,570,1,0.513333333333333
"age.beta[14]",-0.169780117535939,9.92380054902015,-19.3144825859907,-6.41766883051522,-0.417281951501975,6.997692990471,17.4973019474448,1.00520856955182,281,1,0.513333333333333
"site.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"site.beta[2]",-0.0539367230046429,0.171900208306343,-0.390912222334351,-0.174861824578084,-0.0595859816185421,0.0676757501309711,0.283224989306491,0.997744209906461,600,1,0.633333333333333
"site.beta[3]",-0.250763672051729,0.221106768246555,-0.675137507838037,-0.403297660872793,-0.260448226846597,-0.1091173037311,0.194333126287676,1.00139711917914,600,1,0.875
"p",0.957018006264853,0.00440893172488157,0.948247994781084,0.953919197544957,0.957044508218357,0.95999942361835,0.965078619361059,1.00484002635184,600,0,1
"survival[1,1]",0.962899618877531,0.00886305571281283,0.941738782726893,0.957780092162706,0.963467284912909,0.96869626608429,0.978722096322754,1.00658951506622,253,0,1
"survival[2,1]",0.960915909713911,0.00950925740659796,0.938961409155176,0.955745191321631,0.961848546140787,0.967287581257487,0.977403786323963,1.0073140459602,251,0,1
"survival[3,1]",0.952561694358899,0.0124554966344952,0.924573307044645,0.944934746583638,0.953575415164801,0.960920639465629,0.974125249688678,1.00530848290567,271,0,1
"survival[1,2]",0.952734246290742,0.0110020826610215,0.929618851491788,0.945357837949745,0.953589354885324,0.960530219688275,0.970696144691612,1.00996916027562,196,0,1
"survival[2,2]",0.950207331947502,0.0117666143326157,0.921809557241212,0.943347410137963,0.951423381509085,0.958425412664552,0.97131268201414,1.01034850109657,190,0,1
"survival[3,2]",0.939750896680531,0.0153697788485168,0.907176751959455,0.92996874053261,0.941151788633215,0.951263503252568,0.965335393527101,1.01030323643447,232,0,1
"survival[1,3]",0.963743226038974,0.0110294476969822,0.937559275397813,0.957982632500107,0.96504159178469,0.97137438802412,0.981742645700254,1.00277002456202,600,0,1
"survival[2,3]",0.961719189260145,0.0118576743111721,0.933861809203197,0.954655551291917,0.963475126653204,0.97028420067577,0.980344081290482,1.0011514333042,600,0,1
"survival[3,3]",0.953641600796881,0.0148510121623792,0.918726277542328,0.944970998213475,0.95618874383247,0.963814946953288,0.976906739059144,1.00053023208664,600,0,1
"survival[1,4]",0.930460898692865,0.015639060693111,0.898699045695579,0.92000074949875,0.933098095415064,0.941153666221628,0.956413711221333,1.00328899001639,600,0,1
"survival[2,4]",0.926922996555694,0.0163686114750453,0.888840594552829,0.917005550014824,0.92874890978901,0.938039361544917,0.952455820013274,1.0013421227063,600,0,1
"survival[3,4]",0.911968657509673,0.0217590866592633,0.863594977512105,0.898302431181516,0.914175562427437,0.928625699405893,0.947222728907817,0.998019424956735,600,0,1
