"animal_id","ch","birth_site","birth_year","capture_hx"
"270-2007-1-001","111111110100000","West Yana_DMP","2007",111111110100000
"270-2007-1-003","100000000000000","West Yana_DMP","2007",100000000000000
"270-2007-1-006","111111111110000","West Yana_DMP","2007",111111111110000
"270-2007-1-007","111111011000000","West Yana_DMP","2007",111111011000000
"270-2007-1-009","100000000000000","West Yana_DMP","2007",100000000000000
"270-2007-1-010","100000000000000","West Yana_DMP","2007",100000000000000
"270-2007-1-011","101111110010000","West Yana_DMP","2007",101111110010000
"270-2007-1-012","111111011110100","West Yana_DMP","2007",111111011110100
"270-2007-1-013","100000000000000","West Yana_DMP","2007",100000000000000
"270-2007-1-051","111111111110000","West Yana_DMP","2007",111111111110000
"270-2007-1-053","111000000000000","West Yana_DMP","2007",111000000000000
"270-2007-1-056","111111111100000","West Yana_DMP","2007",111111111100000
"270-2007-1-057","111111111111000","West Yana_DMP","2007",111111111111000
"270-2007-1-058","111000000000000","West Yana_DMP","2007",111000000000000
"270-2007-1-061","110000000000000","West Yana_DMP","2007",110000000000000
"270-2007-1-062","100000000000000","West Yana_DMP","2007",100000000000000
"270-2007-1-065","111111100000000","West Yana_DMP","2007",111111100000000
"270-2007-1-066","111111111100000","West Yana_DMP","2007",111111111100000
"270-2008-1-003","010000000000000","West Yana_DMP","2008",10000000000000
"270-2008-1-006","011000000000000","West Yana_DMP","2008",11000000000000
"270-2008-1-008","011111110000000","West Yana_DMP","2008",11111110000000
"270-2008-1-011","011111111000000","West Yana_DMP","2008",11111111000000
"270-2008-1-012","011111111110000","West Yana_DMP","2008",11111111110000
"270-2008-1-013","011111111110000","West Yana_DMP","2008",11111111110000
"270-2008-1-014","011111111100000","West Yana_DMP","2008",11111111100000
"270-2008-1-016","010000000000000","West Yana_DMP","2008",10000000000000
"270-2008-1-017","011111111111100","West Yana_DMP","2008",11111111111100
"270-2008-1-018","011101101111000","West Yana_DMP","2008",11101101111000
"270-2008-1-019","011111110000000","West Yana_DMP","2008",11111110000000
"270-2008-1-020","010000000000000","West Yana_DMP","2008",10000000000000
"270-2008-1-022","011111111100000","West Yana_DMP","2008",11111111100000
"270-2008-1-025","010000000000000","West Yana_DMP","2008",10000000000000
"270-2008-1-027","010000000000000","West Yana_DMP","2008",10000000000000
"270-2008-1-028","011111110000000","West Yana_DMP","2008",11111110000000
"270-2009-1-002","001111111111000","West Yana_DMP","2009",1111111111000
"270-2009-1-005","001000000000000","West Yana_DMP","2009",1000000000000
"270-2009-1-008","001000000000000","West Yana_DMP","2009",1000000000000
"270-2009-1-009","001111111111110","West Yana_DMP","2009",1111111111110
"270-2009-1-010","001111110000000","West Yana_DMP","2009",1111110000000
"270-2009-1-011","001111111000000","West Yana_DMP","2009",1111111000000
"270-2009-1-012","001111111110000","West Yana_DMP","2009",1111111110000
"270-2009-1-013","001100000000000","West Yana_DMP","2009",1100000000000
"270-2009-1-020","001111111100000","West Yana_DMP","2009",1111111100000
"270-2009-1-021","001111111100000","West Yana_DMP","2009",1111111100000
"270-2009-1-022","001000000000000","West Yana_DMP","2009",1000000000000
"270-2009-1-023","001111111110000","West Yana_DMP","2009",1111111110000
"270-2009-1-024","001111111111110","West Yana_DMP","2009",1111111111110
"270-2009-1-029","001000000000000","West Yana_DMP","2009",1000000000000
"270-2009-1-032","001000000000000","West Yana_DMP","2009",1000000000000
"270-2009-1-033","001110100000000","West Yana_DMP","2009",1110100000000
"270-2009-1-038","001111100000000","West Yana_DMP","2009",1111100000000
"270-2010-1-001","000111111111110","West Yana_DMP","2010",111111111110
"270-2010-1-003","000111111111000","West Yana_DMP","2010",111111111000
"270-2010-1-004","000111000000000","West Yana_DMP","2010",111000000000
"270-2010-1-005","000111111111110","West Yana_DMP","2010",111111111110
"270-2010-1-006","000111111111100","West Yana_DMP","2010",111111111100
"270-2010-1-007","000101111111110","West Yana_DMP","2010",101111111110
"270-2010-1-009","000111101111110","West Yana_DMP","2010",111101111110
"270-2010-1-010","000111111111110","West Yana_DMP","2010",111111111110
"270-2010-1-013","000110000111100","West Yana_DMP","2010",110000111100
"270-2010-1-014","000111000000000","West Yana_DMP","2010",111000000000
"270-2010-1-015","000100000000000","West Yana_DMP","2010",100000000000
"270-2010-1-019","000111111111110","West Yana_DMP","2010",111111111110
"270-2010-1-020","000100000000000","West Yana_DMP","2010",100000000000
"270-2010-1-021","000111111111110","West Yana_DMP","2010",111111111110
"270-2010-1-023","000110000111110","West Yana_DMP","2010",110000111110
"270-2010-1-025","000110000111100","West Yana_DMP","2010",110000111100
"270-2010-1-027","000111111111000","West Yana_DMP","2010",111111111000
"270-2010-1-028","000111111111110","West Yana_DMP","2010",111111111110
"270-2010-1-035","000100000000000","West Yana_DMP","2010",100000000000
"270-2010-1-038","000111111011110","West Yana_DMP","2010",111111011110
"270-2010-1-039","000111111110000","West Yana_DMP","2010",111111110000
"270-2010-1-084","000100000000000","West Yana_DMP","2010",100000000000
"270-2010-1-086","000111101111010","West Yana_DMP","2010",111101111010
"270-2010-1-087","000110000111110","West Yana_DMP","2010",110000111110
"270-2010-1-088","000100000000000","West Yana_DMP","2010",100000000000
"270-2010-1-089","000100000000000","West Yana_DMP","2010",100000000000
"270-2011-0-335","000011111111110","West Yana_Pasture","2011",11111111110
"270-2011-0-336","000011111111110","West Yana_Pasture","2011",11111111110
"270-2011-0-337","000011111111110","West Yana_Pasture","2011",11111111110
"270-2011-0-338","000011111111110","West Yana_Pasture","2011",11111111110
"270-2011-0-339","000011111111000","West Yana_Pasture","2011",11111111000
"270-2011-0-340","000011111111000","West Yana_Pasture","2011",11111111000
"270-2011-0-341","000011110111010","West Yana_Pasture","2011",11110111010
"270-2011-0-342","000011100000000","West Yana_Pasture","2011",11100000000
"270-2011-0-343","000011111111000","West Yana_Pasture","2011",11111111000
"270-2011-0-344","000011000000000","West Yana_Pasture","2011",11000000000
"270-2011-0-345","000011111110000","West Yana_Pasture","2011",11111110000
"270-2011-1-202","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-206","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-209","000010111000000","West Yana_DMP","2011",10111000000
"270-2011-1-213","000011111111110","West Yana_DMP","2011",11111111110
"270-2011-1-215","000011111111110","West Yana_DMP","2011",11111111110
"270-2011-1-224","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-225","000011110111110","West Yana_DMP","2011",11110111110
"270-2011-1-242","000011111101100","West Yana_DMP","2011",11111101100
"270-2011-1-243","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-244","000011110000000","West Yana_DMP","2011",11110000000
"270-2011-1-246","000011110111110","West Yana_DMP","2011",11110111110
"270-2011-1-247","000011110000000","West Yana_DMP","2011",11110000000
"270-2011-1-248","000011101111110","West Yana_DMP","2011",11101111110
"270-2011-1-249","000010110000000","West Yana_DMP","2011",10110000000
"270-2011-1-250","000011111100000","West Yana_DMP","2011",11111100000
"270-2011-1-260","000011111111110","West Yana_DMP","2011",11111111110
"270-2011-1-261","000011111111110","West Yana_DMP","2011",11111111110
"270-2011-1-266","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-268","000011111110000","West Yana_DMP","2011",11111110000
"270-2011-1-269","000011111111110","West Yana_DMP","2011",11111111110
"270-2011-1-295","000011111111010","West Yana_DMP","2011",11111111010
"270-2011-1-300","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-318","000010000000000","West Yana_DMP","2011",10000000000
"270-2011-1-321","000011100000000","West Yana_DMP","2011",11100000000
"270-2011-1-322","000011111111000","West Yana_DMP","2011",11111111000
"270-2011-1-333","000011111111110","West Yana_DMP","2011",11111111110
"270-2012-0-152","000001000000000","West Yana_Pasture","2012",1000000000
"270-2012-0-153","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-330","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-331","000001111100000","West Yana_Pasture","2012",1111100000
"270-2012-0-332","000001110000000","West Yana_Pasture","2012",1110000000
"270-2012-0-333","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-334","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-335","000001111000000","West Yana_Pasture","2012",1111000000
"270-2012-0-336","000001000000000","West Yana_Pasture","2012",1000000000
"270-2012-0-337","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-338","000001111000000","West Yana_Pasture","2012",1111000000
"270-2012-0-339","000001110000000","West Yana_Pasture","2012",1110000000
"270-2012-0-340","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-341","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-342","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-343","000001111110000","West Yana_Pasture","2012",1111110000
"270-2012-0-344","000001111111110","West Yana_Pasture","2012",1111111110
"270-2012-0-345","000001110100000","West Yana_Pasture","2012",1110100000
"270-2012-1-207","000001111111000","West Yana_DMP","2012",1111111000
"270-2012-1-208","000001000000000","West Yana_DMP","2012",1000000000
"270-2012-1-224","000001111000000","West Yana_DMP","2012",1111000000
"270-2012-1-228","000001000000000","West Yana_DMP","2012",1000000000
"270-2012-1-229","000001111111100","West Yana_DMP","2012",1111111100
"270-2012-1-230","000001101111110","West Yana_DMP","2012",1101111110
"270-2012-1-231","000001111100000","West Yana_DMP","2012",1111100000
"270-2012-1-232","000001000000000","West Yana_DMP","2012",1000000000
