"animal_id","year_cap","event","wyey","dmp_pasture","birth_site","birth_year"
"270-2007-1-001",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2013,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2014,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-001",2016,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-003",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2013,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2014,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2015,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2016,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-006",2017,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2014,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-007",2015,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-009",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-010",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2013,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2014,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-011",2017,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2008,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2009,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2010,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2011,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2012,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2014,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2015,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2016,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2017,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-012",2019,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-013",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-051",2007,1,"west yana","dmp","west yana_dmp",2007
"270-2007-1-051",2008,1,"west yana","dmp","west yana_dmp",2007
