"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",3.69966610840677,0.390322877283585,3.00599875751567,3.43916297132079,3.66514530448898,3.94935694187507,4.56100863123797,1.01859503669763,136,0,1
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",-0.103549677460583,0.186767464581519,-0.465736929475951,-0.225413682230686,-0.102004437470753,0.0178058005314776,0.268991108597653,1.00001528687496,1500,1,0.708666666666667
"bs.beta[3]",0.502357614535297,0.357105801928055,-0.147975986980499,0.255339601499578,0.483641050690511,0.729527451720363,1.24315051729708,1.00319617427669,511,1,0.926
"weight.beta",0.198995755674783,0.051699765620118,0.102707216298548,0.164795095832297,0.198849847984581,0.232350637166335,0.307509627215157,1.00203960310533,745,0,1
"bs.weight.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.weight.beta[2]",-0.22907552150542,0.0993801831004403,-0.418605196769408,-0.303044712935104,-0.229530303072817,-0.157126436281124,-0.0397793833949929,1.01212895928627,165,0,0.997333333333333
"bs.weight.beta[3]",-0.777843375469701,0.216408302421896,-1.33591854837642,-0.890572652920155,-0.738264395276222,-0.631940657601353,-0.472662654292379,1.01680893742586,180,0,1
"age.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"age.beta[2]",-0.56022276591657,0.457530633462063,-1.50418609778456,-0.841270356509862,-0.538979120281391,-0.255909584772475,0.275196168979793,1.01398217608121,176,1,0.887333333333333
"age.beta[3]",-0.685614010166332,0.446967803956795,-1.61137734481792,-0.976331907283874,-0.656228493658174,-0.380630325818559,0.161971908637148,1.00796815406444,279,1,0.945333333333333
"age.beta[4]",-1.02912287888214,0.430541066174282,-1.95472095682965,-1.30271228367047,-1.01741479405595,-0.741661714395874,-0.210623213545572,1.01190036643089,205,0,0.994
"age.beta[5]",-0.703358949278145,0.470682040416161,-1.64849799067794,-1.00925196748453,-0.686292011431657,-0.396524052415505,0.210052264145067,1.00924237837341,229,1,0.936666666666667
"age.beta[6]",-1.398948760866,0.450479641584908,-2.32041240724492,-1.68966534214226,-1.39227563551467,-1.09923258774838,-0.537210642975429,1.01045460075737,214,0,0.998
"age.beta[7]",-2.30154868312038,0.427338442885687,-3.19562510688422,-2.55995782896461,-2.28248662494157,-2.01651798782184,-1.49933715292111,1.01882666489055,126,0,1
